Review_Title, Review_Rating, Review Body
Best Fitbit yet,5,Upgraded from Versa 2. Love the new features including ECG and Blood Oxygen Monitor.
Do not recommend.,1,Do not buy this. It is an exceptionally poor product with a garbage heart rate sensor. How fitbit allowed such an inferior product to be sold I have no idea. The side button regularly activates unintentionally when pressed against the wrist but fails to press when you try to. The screen regularly fails to register swipes. But by far the most egregious design failure is the heart rate sensor. The whole workout it registered way off as demonstrated in the image.Professional reviews all made the same points but i assumed they were overstated or were software fixes that would be worked out. I was wrong. I will be returning the watch and getting a Garmin.
Do not recommend.,1,Do not buy this. It is an exceptionally poor product with a garbage heart rate sensor. How fitbit allowed such an inferior product to be sold I have no idea. The side button regularly activates unintentionally when pressed against the wrist but fails to press when you try to. The screen regularly fails to register swipes. But by far the most egregious design failure is the heart rate sensor. The whole workout it registered way off as demonstrated in the image. Professional reviews all made the same points but i assumed they were overstated or were software fixes that would be worked out. I was wrong. I will be returning the watch and getting a Garmin.
Not Impressed Whatsoever!,2,Pretty much a letdown overall. My main disappointment is that it doesn't come with the ECG or the Google Assistant available! These were the two main functions I bought it forxxxxx and was advertised that it had. It can be hard to find my phone and sync at times. The sp02 feature only works with one specific clock face so it must be in use before you go to bed at night for it to work (bummer). The new charger is really good and easily usedxxxxx and changing bands only takes only seconds. Fit and finish are impeccable. I was told be Fitbit's tech support that there was a 45 day return window from the "date of purchase"xxxxx which was the date that you pre-ordered. I didn't actually get the watch for about a month from that date though! That means I've only got about a 15 day period in which to evaluate it then! Plusxxxxx Fitbit charges your card or account the day you place the pre-orderxxxxx that sucks. Most companies charge you only when an item shipsxxxxx the decent thing to do. I've found Fitbit's tech support agents are very hard to communicate with because English is apparently not their first language. I'm still debating sending my unit back depending upon how long it takes to get these advertisedxxxxx but not providedxxxxx functions up and running as well as numerous little bug fixesxxxxx but I'll have to hurry! By the wayxxxxx I purchased mine from Fitbitxxxxx not Amazon.
The main feature I wantedxxxxx GPSxxxxx doesn't work.,1,GPS doesn't work. It states "GPS connecting..." thenxxxxx after a minutexxxxx "No GPS Signal". I've used GPS to track my daily bike rides on my Versa 2. I was hopingxxxxx by getting the Sensexxxxx I wouldn't have to lug my phone around with me anymore. I've contacted Fitbit Support. The first representative wasn't able to assist. They escalated the issue to a "special team". Now I'm waiting on the next tier of support to reach out to me. I'm leaving a 1-star review for nowxxxxx seeing that the major reason I bought this device -- built-in GPS -- doesn't function at all. I've been a Fitbit customer for years (having the Versa 1xxxxx Versa 2xxxxx and smart scales) so I hate to say that I'm disappointed in this product. But I am extremely disappointed.
So disappointed,1,I was so excited to receive my Fitbit sense since I suffer from SVT and like to keep close watch on my heart rate...what a huge disappointment. For the money spent it was so hard to use and not accurate. I sent mine back and will be looking into an Apple Watch 5 or 6.
Unethical Upsells in Set up,2,So far the watch itself seems OKxxxxx but Fitbit burned me as a customer in the set up process. Not oncexxxxx but twice during set up the user is presented with upsell screens (insurance and premium service) for which there is only an OK button to move on. You have to back out of the screen and dismiss a warning to avoid buying the upgrade and thenxxxxx the watch did not leave set up mode until after updating (warning may take more than 20 minutesxxxxx and yesxxxxx 90 is more than 20. Ninety minutes during which you have to leave the phone on the Fitbit app's update screen and so cannot use your phone)
It's just not worth it,1,Spare yourself the waste and buy something cheaper. Its interface is sloppyxxxxx slowxxxxx it loses connection frequently and it fails to add a cc for payments... not greater than a band you can get for 200 less. The app is horrible (first time I use fitbit) I bought it as a gift so I'm returning itxxxxx I just pitty its owner. It demands a hideous amount of time to setup and an ugly more to get it to work if you're unlucky to drop comms phone to watch. I got frustrated just by using it for 10 minutes. It lacks value for its price.
All those sensors and nowhere to read results,2,I got watch yesterday. It is a mystery how to get readings of anything. I got so I can track myself morexxxxx this thing so far is doing significantly less then my amazfit bip. All negative reviews are right. It is cool you added all those sensors but it is next to impossible to read them. I barely can get heart ratexxxxx watch is unresponsive. Unless I can figure it out quicklyxxxxx I might be returning it. Previous fitbit was amazing experiencexxxxx I don't know what they did to make this
Best Fitbit yet,5,Upgraded from Versa 2. Love the new features including ECG and Blood Oxygen Monitor.
Stay away from this one!,1,I have used a Fitbit Ionic for about 4 years now. Of course it failed under warrantyxxxxx the Ionic had several known issuesxxxxx some of them kind of strangexxxxx like one I hadxxxxx the magnet inside the watch that holds the charge connector in place must have movedxxxxx and after that it repelled the connectorxxxxx instead of attracting it. Butxxxxx Fitbit would always send me a refurbxxxxx and didn't even want the defective one back. They actually did this about 4 timesxxxxx even after it was way out of warranty. I guess they knew they had a watch that had some issuesxxxxx so this was their way of standing behind the product. Soxxxxx when the Sense came outxxxxx I thought I would give it a try. Big mistake. The heart rate monitor is not capable of tracking any heart rate above around 110. The pictures I included should say it all. the first one is from my Ionic. the second one is from the Sensexxxxx same machinexxxxx same settingsxxxxx but as you can seexxxxx far different readings. No questionxxxxx there is an issuexxxxx just check the Sense forum in the Fitbit community on their web site. Is it hardwarexxxxx or something that can be fixed in software? I have no ideaxxxxx but am not interested in paying $350 to be an alpha tester. Mine is going back. And by the wayxxxxx when I called to get my return authorizationxxxxx I was put on hold several timesxxxxx and they wanted me to continue trying to work through the issue with customer support. I will never consider another Fitbit productxxxxx ever again.
So farxxxxx so good,5,I was concerned after all the early negative reviews but found the set-up (and update) process to be quick and easy (grantedxxxxx I am a prior Fitbit user and used the phone app to swap my devices - very easy). GPS worked although took a bit of time to connect - connecting time is getting better on each walk (I read somewhere that it would take more time the first few times using it). My heart rate is tracking the same as with my prior Fitibit (same resting / increase in rate during exercisexxxxx etc.) - no major changes. The band is comfortable but I have purchased a metal magnetic band that should be arriving today (same type I had on the Versa 2). Overallxxxxx I'm happy (and hoping that it stays that way).
If you’ve been a Fitbit fanxxxxx you’ll like this one too,4,I have worn Fitbit devices for years. I have found this one to be the most accurate so far. Seems very reliable when it comes to stepsxxxxx flightsxxxxx active minutesxxxxx heart rate and especially sleep tracking. The EKG app and overnight oxygen saturations are very interesting to me as a physicianxxxxx and I could see this being useful to someone with paroxysmal atrial fibrillation or sleep apnea to track the activity of those conditions. Like othersxxxxx I wish there was an option to check oxygen saturation on demand rather than just overnight- perhaps in the next update? Finallyxxxxx it was easy to set upxxxxx charges quickly and retains battery life nicely and hasn’t given me any trouble connecting to my iPhone. Works better in all regards than my old Fitbit Blaze which finally stopped reliably charging after several years of daily use and abuse. If you like Fitbit devices and are used to their interfacexxxxx you should enjoy this new device.
