,Net Investment,Discontinued,Rating,N_Reviews,Weighted_Reviews ,Price,Subscription_Required,Subscription_Cost,Personalized_Analytics,Temp,Heart_Rate,ECG,Respiratory_Rate,Oxygen,Activity_Tracking,Activity_Display,Count_Steps,Sitting/Standing,Fall_Detection,Sleep/Wake,Body_Orientation,Proximity_Alarm,Bluetooth,Audio_Monitoring,Camera_Monitoring,Memory,Charging_Wireless,Charging_USB,Batteries_Required,Battery_Life,Battery_Indicator_Hardware,Battery Level Indicator_Software,Reusable,Water_Resistant,Adhesive_Required,Choking_Hazard_Regulation ,HIPPA_Compliant,FDA,Infants,Kids,Teen,Adults,Senior
"I0spired Biometrics 
se0sei (FREE Subscriptio0)
",,,,,,499,1,$0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,24,1,1,1,1,1,1,0,0,1,1,1,1,1
"I0spired Biometrics 
se0sei (PAID Subscriptio0)
",,,,,,499,0,$20,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,,,,24,1,1,1,1,1,1,0,0,1,1,1,1,1
"Mo0bab1 Basic
","16,000",0,3.9,194,756.6,70,1,$0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,,0,0,1,504,0,1,1,0,0,1,,,,,,,
Mo0Bab1 Adva0ced,,0,3.3,90,297,99,1,$0,0,1,0,0,1,,1,1,0,1,1,1,1,1,1,0,0,,0,0,1,504,0,1,1,0,0,1,,,,,,,
"Temp Traq
",,0,3.4,308,1047.2,19,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,24,0,0,0,0,0,1,,1,1,1,1,1,1
Owlet,,0,4,1969,7876,299,1,$0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,18,0,1,1,0,0,1,1,0,1,0,0,0,0
Owlet Duo (i0cludes camera),,0,4.1,,0,399,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bab1se0se petite clip,,0,3.7,68,251.6,50,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,,,0,1,0,0,0,0
"Mimo smart bab1 mo0itor
(out of busi0ess)",,1,2.9,67,194.3,150,1,,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,,0,0,1,120,0,0,1,0,0,0,,0,1,,,,
Fever Scout,,1,3,96,288,60,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,1,168,0,0,1,1,,,,1,1,1,1,1,1
S0uza Hero,,0,4.4,93,409.2,100,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,,1,0,1,0,0,0,,,1,0,0,0,0
"Bab1 vida
",,1,2.4,10,24,150,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,0,0,1,c,0,0,,,,,,,
"Sproutli0g
",,1,2,23,46,49,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,1,,,,,,,,,,
