Recorded Date,What gender do you identify as?,Age,Approximate_Income,Zipcode,"Do you currently monitor the health of anyone, including yourself, in these following groups? Click all that apply.","Are you interested in monitoring the health of anyone, including yourself, in these following groups? (Click all that apply)","You indicated that you do not currently monitor the health of anyone, including yourself, in these particular groups. Are you interested in monitoring the health of anyone, including yourself, in these following groups? (Click all that apply)",How often do you monitor the health of a child/children? - 1,How do you currently monitor the health of a child/children.(Check all that apply),"If you said ""other"" for how you monitor the health of a child/children, please explain your method below",Search_Children,"If you said ""other"" for where you have searched for a solution to your health monitoring needs for a child/children, please list where you have searched below",Does the child/children that you monitor have/had any chronic medical conditions?,Child_Chronic_Illness,Ranking_Child_BT,Ranking_Child_HR,Ranking_Child_BO,Ranking_Child_AT,Ranking_Child_FD,"WTP_Child, BT,HR,BO","WTP_Child_BT,HR,BO,AT","WTP_Child_BT,HR,BO,FD","If you said you would pay $0 for a device that can measure a child's/children's body temperature, heart rate, and body orientation, what is your reasoning for that price point?","If you said ""other"" for the previous question, please give your reasoning below.",How often do you monitor the health of an adult with a chronic illness? - 1,How do you currently monitor the health of an adult with a chronic illness? (Check all that apply),"If you said ""other"" for how you monitor the health of an adult with a chronic illness, please explain your method below",Search_Adult,"If you said ""other"" for where you have searched for a solution to your health monitoring needs for an adult with a chronic illness, please list where you have searched below",Adult_Chronic_Illness_Type,Ranking_Adult_BT,Ranking_Adult_HR,Ranking_Adult_BO,Ranking_Adult_AT,Ranking_Adult_FD,"WTP_Adult_BT,HR,BO","WTP_Adult_BT,HR,BO,AT","WTP_Adult_BT,HR,BO,FD","If you said you would pay $0 for a device that can measure the body temperature, heart rate, and body orientation of an adult with a chronic illness, what is your reasoning for that price point?","If you said ""other"" for the previous question, please give your reasoning below",How often do you monitor the health of a person over the age of 65? - 1,How do you currently monitor the health of a person over the age of 65? (Check all that apply),"If you said ""other"" for how you monitor the health of a person over the age of 65, please explain your method below",Search_Senior,"If you said ""other"" for where you have searched for a solution to your health monitoring needs for a person over the age of 65, please list where you have searched below",Ranking_Senior_BT,Ranking_Senior_HR,Ranking_Senior_BO,Ranking_Senior_AT,Ranking_Senior_FD,"WTP_Senior_BT,HR,BO","WTP_Senior_BT,HR,BO,AT","WTP_Senior_BT,HR,BO,FD","If you said you would pay $0 for a device that can measure the body temperature, heart rate, and body orientation of a person over the age of 65, what is your reasoning for that price point?","If you said ""other"" for the previous question, please give your reasoning below",Subscription_$499,Subscription_$249,Subscription_$49,Feature_Rating_Access_data_on_multiple_devices,Feature_Rating_Remote_monitoring,Feature_Rating_Personalized_analytics,Feature_Rating_Real_time_alerts_to_abnormal_values/trends,Feature_Rating_Interactive_graph_with_historical_trends,Feature_Rating_Alert_history,"Feature_Rating_Daily,weekly,monthly_graphs",Feature_Rating_Share_data,Feature_Rating_monitor_multiple_people,"If you rated any of the monitoring features as 0, what is your reasoning for that value?",Subscription_Length,"If you said you anticipate using the premium monitoring plan for 0 months, what is your reasoning for that value?"
4/10/2020 16:02:13,Male,0-22,"$0-$49,999",48302,A child/children,A child/children,,Multiple times a day,"Visually,By touch",,Web search (i.e. Google),,No,,2,3,4,5,1,175,250,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,25,10,7,10,10,10,9,8,7,5,6,,24,
4/10/2020 16:02:19,Male,0-22,"$0-$49,999",48302,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2020 16:05:03,Female,46-55,Prefer not to say,,A child/children,A child/children,,Less than once a month,Visually,,Web search (i.e. Google),,No,,3,1,4,2,5,302,315,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,10,10,10,10,10,10,10,10,10,,12,
4/10/2020 16:48:43,Male,0-22,"$0-$49,999",48079,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2020 16:49:38,Male,0-22,"$0-$49,999",48838,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2020 17:51:25,Male,56-64,"$200,000+",48313,An adult with a chronic illness,None,,,,,,,,,,,,,,,,,,,Less than once a month,Other,Glucose monitor,Pharmacy (i.e. CVS Pharmacy),,,3,1,4,2,5,81,138,193,,,,,,,,,,,,,,,,,,1,15,23,,8,7,8,,,,,,,24,
4/10/2020 19:11:07,Female,23-35,"$100,000-$149,999",,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2020 20:02:33,Male,36-45,"$200,000+",49301,None,,Anyone over the age of 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,4,2,199,199,250,,,19,29,35,8,10,9,10,7,7,8,9,7,,24,
4/11/2020 6:56:58,Female,36-45,"$100,000-$149,999",49306,A child/children,A child/children,,Once a week,"Visually,By touch,Thermometer",,"Amazon,Web search (i.e. Google),I have not searched for a health monitoring product",,No,,2,1,5,3,4,110,199,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,40,9,7,6,7,7,6,6,10,4,,12,
4/11/2020 10:46:38,Female,0-22,"$0-$49,999",,A child/children,A child/children,,Multiple times a day,Wearable device,,"Amazon,Web search (i.e. Google),Healthcare Provider",,Yes,"POTS,asthma",1,2,3,4,5,202,289,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,26,19,10,8,7,10,8,10,6,9,4,,29,
